driver,best_qualif_time
alexander albon,0.8945645395967577
carlos sainz,0.8371440448971103
charles leclerc,0.9437227187694882
esteban ocon,0.75717106630638
fernando alonso,0.8419767200166289
gabriel bortoleto,0.7689669507378928
george russell,0.9642485969652885
isack hadjar,0.860995635003116
jack doohan,0.7800872999376447
kimi antonelli,0.8777281230513404
lance stroll,0.8371440448971103
lando norris,0.9840469756807293
lewis hamilton,0.9508937850758682
liam lawson,0.724745375181874
max verstappen,0.9784348368322568
nico hulkenberg,0.7850758678029506
oliver bearman,0.0
oscar piastri,1.0
pierre gasly,0.7993140719185177
yuki tsunoda,0.899657035959261
